suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
4,19080080,10,1,1049128
2,19080103,3.1,1,1049129
12,19080145,0.5,1,1049147
5,19080161,1.5,3,1049148
1,19080180,1.9,1,1049149
5,19079014,1.5,3,1049161
5,19079048,1.5,3,1049162
5,19079054,0,,1049163
5,19079055,1.5,3,1049164
1,19079066,1.5,3,1049165
5,19080219,1.5,3,1049166
5,19079203,1.5,3,1049183
5,19080317,2,10,1049215
5,19080343,1.5,3,1049216
5,19079421,1.5,3,1049227
5,19079424,1.5,3,1049228
5,19079464,1.5,3,1049238
5,19079468,1.5,3,1049239
2,19079611,4.5,1,1049265
1,19079635,4.9,1,1049266
5,19079657,1.5,3,1049267
16,19079684,20,1,1049276
2,19079698,28,1,1049277
5,19079702,1.5,3,1049278
5,19079709,1.5,3,1049279
5,19079722,1.5,3,1049280
5,19079724,16,3,1049281
2,19079827,1.9,1,1049294
2,19079849,0.2,1,1049307
12,19079876,0.5,1,1049308
8,19093159,21.5,9,1049327
4,19093273,52.5,1,1049336
5,19092077,54,1,1049339
17,19092081,1,1,1049340
8,19092108,2,9,1049341
12,19092113,6.2,1,1049342
17,19092562,1,1,1049406
12,19095013,1364.2,1,1049408
5,19146365,9.6,1,1053659
5,19158593,0.5,1,1053713
5,19158604,9.5,1,1053714
5,19158605,1,9,1053715
2,19158635,1.2,1,1053733
5,19158663,3.11,3,1053734
5,19158667,0.05,3,1053735
1,19158821,15,1,1053771
5,19161198,1,9,1053784
12,19158874,4.5,1,1053791
16,19161209,1,3,1053794
12,19161252,1,1,1053795
5,19162489,0.43,3,1053797
5,19162505,0.135,3,1053798
5,19162512,1.5,1,1053799
12,19158960,4.1,1,1053804
12,19158989,1.1,1,1053805
5,19162532,0.11,3,1053821
5,19162570,0.46,3,1053822
5,19159322,1.595,3,1053909
5,18992762,20.2,1,1044911
12,18992797,28,9,1044912
5,18991913,9.5,1,1044978
2,18990741,1.8,1,1044993
12,18993484,200,1,1044997
12,18989583,1.5,1,1044999
5,18990760,4.2,1,1045000
2,18990767,1,1,1045001
12,18990828,1.7,1,1045002
5,18993084,1,1,1045010
12,18989599,0.6,1,1045012
5,18989642,1,1,1045013
2,18989658,1.2,1,1045014
5,18990843,1,1,1045015
5,18992333,8,1,1045058
12,18992340,1,9,1045059
5,18992372,1.9,3,1045069
5,18993367,15.2,1,1045072
17,18993409,1,1,1045073
5,18993418,7,1,1045074
4,18991256,1,1,1045091
1,18992527,0.3,1,1045093
5,18992529,30.7,1,1045094
5,18992536,1,1,1045095
2,18992541,2.1,1,1045096
5,18992548,36,1,1045097
5,18992552,1,1,1045098
5,18992558,13,1,1045099
5,18988948,23,1,1045123
2,18988949,1.1,1,1045124
1,19007095,1,1,1045132
12,19007102,6.4,1,1045133
5,19007300,1.2,1,1045161
15,19095105,15,9,1049414
12,19095113,3.25,1,1049415
4,19085899,479.7,1,1049474
12,19085903,1,11,1049475
12,19085925,0.05,1,1049476
5,19085943,3,1,1049477
12,19089780,16,1,1049493
8,19089881,90,9,1049507
5,19086130,45,1,1049508
16,19086158,3,9,1049509
5,19086183,1.5,3,1049510
5,19086216,1.5,3,1049519
5,19086227,1.5,3,1049520
5,19086464,2,3,1049570
5,19086476,0.7,1,1049571
5,19090461,13,4,1049607
5,19090299,2.2,1,1049644
8,19086838,4,9,1049647
5,19086873,83,4,1049648
12,19086887,8.4,1,1049649
12,19090559,11.5,1,1049657
12,19085835,11.2,1,1049681
12,19085840,0.75,1,1049682
8,19085846,19,9,1049683
1,19104162,5.5,1,1049689
1,19104212,2.2,1,1049690
5,19104227,28.1,1,1049691
5,19104234,4.1,1,1049692
5,19159408,0.17,3,1053922
12,19160527,0.4,1,1053923
5,19159514,0.04,3,1053928
5,19160598,1.13,3,1053929
5,19160616,1,3,1053930
2,19158344,0.8,1,1053935
2,19153749,0.1,1,1054012
5,19155171,0.8,3,1054071
12,19158250,111,1,1054078
12,19158266,2.4,3,1054079
5,19155183,0.08,3,1054085
5,19155239,0.05,3,1054086
1,19157661,1,1,1054142
12,19154207,16,9,1054145
5,19154238,0.2,3,1054146
2,19154239,0.2,1,1054147
12,19154247,0.3,1,1054148
1,19154292,0.3,1,1054168
5,19154306,0.72,3,1054169
5,19158140,0.85,1,1054189
5,19006236,1,1,1045181
5,19006257,15,1,1045182
1,19006258,1.1,1,1045183
2,19006298,8.5,1,1045184
5,19003924,18.7,1,1045189
5,19006318,0.9,1,1045192
1,19006350,0.2,1,1045193
12,19006375,0.5,1,1045194
11,19006379,0.1,7,1045203
1,19006380,1.4,1,1045204
5,19006394,0.5,1,1045205
5,19006396,10,1,1045206
2,19006407,4,1,1045207
1,19006429,1,1,1045208
5,19006453,3,1,1045223
5,19006455,3.5,1,1045224
1,19006456,1.4,1,1045225
1,19006460,0.7,1,1045226
1,19006472,0.6,1,1045227
5,19006492,11.9,1,1045228
16,19007945,36,9,1045272
5,19007954,2.1,1,1045273
4,19007964,1,1,1045274
8,19008007,7,9,1045289
5,19008009,3,1,1045290
1,19008019,0.2,1,1045291
5,19005655,10.3,1,1045297
5,19005661,8,1,1045298
16,19005670,800,1,1045299
5,19004592,12,1,1045315
5,19004608,16,1,1045316
5,19006967,2.9,1,1045321
1,19004633,0.6,1,1045326
1,19004634,1,1,1045327
1,19004654,0.2,1,1045328
1,19004657,3,1,1045329
4,19004679,0.7,1,1045330
5,19005798,387,1,1045331
5,19006988,1,1,1045335
8,19002327,100,9,1045341
5,19002330,8,1,1045342
1,19002347,16,1,1045343
5,19002367,13,1,1045344
2,19002375,0.3,1,1045345
1,19002413,1,1,1045361
8,19002433,15,1,1045362
4,19002437,0.4,1,1045363
1,19002440,2.7,1,1045364
5,18998810,9,1,1045381
5,18998841,10,1,1045382
5,19000065,18,1,1045384
2,19001362,35.68,1,1045387
5,19001381,1,1,1045388
5,18998899,16,1,1045391
5,18998903,30.4,1,1045392
16,19002671,6,9,1045396
1,19002672,1.2,1,1045397
1,19002687,1,1,1045398
1,19002690,2.2,1,1045399
5,18998947,1,1,1045400
5,18998998,1,1,1045401
5,18999002,0.3,3,1045402
