year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2003,Texas,TX,19219,TX0950100,Abernathy,2814,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2003,Texas,TX,19740,TX2210100,Abilene,117016,2,"Cities from 100,000 thru 249,000",1,12,0,0,0,1,0
2003,Texas,TX,19009,TX0570100,Addison,14336,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2003,Texas,TX,19309,TX1080100,Alamo,15759,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2003,Texas,TX,18824,TX0152100,Alamo Community College District,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2003,Texas,TX,18807,TX0150100,Alamo Heights,7375,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2003,Texas,TX,19669,TX2090100,Albany,1967,7,"Cities under 2,500",0,0,0,0,1,1,0
2003,Texas,TX,19391,TX1250100,Alice,19401,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2003,Texas,TX,18958,TX0430100,Allen,58106,3,"Cities from 50,000 thru 99,000",1,12,0,0,0,1,0
2003,Texas,TX,18876,TX0220100,Alpine,6026,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2003,Texas,TX,18944,TX0371000,Alto,1145,7,"Cities under 2,500",1,12,0,0,0,1,0
2003,Texas,TX,19325,TX1082300,Alton,4931,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2003,Texas,TX,19395,TX1260100,Alvarado,3728,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2003,Texas,TX,18851,TX0200100,Alvin,22367,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2003,Texas,TX,18862,TX0201700,Alvin Community College,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2003,Texas,TX,19610,TX1880100,Amarillo,179762,2,"Cities from 100,000 thru 249,000",1,12,1,12,0,1,1
2003,Texas,TX,19611,TX1880200,Amarillo College,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2003,Texas,TX,19613,TX1880600,Amarillo International Airport,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2003,Texas,TX,19460,TX1460700,Ames,1158,7,"Cities under 2,500",0,0,0,0,1,1,0
