criminal_act_id,offense_id
6,22424322
6,22424323
6,22424324
3,22424628
6,22425971
6,22425977
1,22421275
8,22429288
6,22428697
8,22425231
1,22419500
6,22419506
6,22421808
6,22421809
6,22428704
6,22421811
8,22428707
6,22428708
5,22421816
1,22428709
1,22426030
2,22425251
2,22429271
8,22430817
6,22425980
6,22424331
3,22424332
6,22424333
8,22421281
1,22424654
6,22424854
6,22424655
8,22424860
1,22419475
6,22421288
6,22419479
2,22421790
1,22421793
6,22421794
1,22428688
1,22419490
8,22421818
1,22421819
6,22421824
6,22424693
6,22426042
8,22421827
6,22423300
6,22424706
6,22424711
6,22428734
8,22423307
6,22423312
6,22426064
6,22425692
6,22429273
1,22425262
1,22423865
1,22423866
8,22429304
6,22425267
6,22425698
6,22425699
6,22429287
8,22423869
6,22426629
6,22425700
6,22429290
8,22429293
2,22425223
8,22423833
6,22428759
3,22423836
6,22425233
6,22421860
6,22428762
6,22421861
6,22429255
6,22425244
6,22423850
6,22421867
1,22429263
6,22429641
6,22425253
1,22426618
1,22423943
6,22426050
6,22428727
6,22423295
6,22428728
2,22428729
6,22423296
6,22424700
1,22430863
1,22435409
6,22429305
6,22426231
1,22429307
6,22423875
6,22425274
8,22440264
6,22430469
6,22430470
6,22430495
6,22430497
6,22423940
2,22426282
1,22426285
6,22430508
6,22423941
8,22429643
6,22423879
6,22426636
1,22423881
6,22430446
6,22426217
6,22423886
6,22423887
6,22429299
6,22430448
6,22426219
6,22430449
6,22426220
8,22426221
8,22425280
6,22425288
2,22431094
1,22434952
1,22426252
1,22430235
1,22434969
8,22426257
6,22429330
6,22429333
2,22425315
6,22429124
6,22426263
6,22430489
6,22429125
6,22429128
6,22430490
6,22429717
6,22431105
6,22429719
1,22434955
6,22429722
6,22429725
1,22435567
1,22430864
1,22435568
2,22435597
6,22426857
6,22426863
6,22426864
1,22430204
6,22434440
6,22431089
6,22429704
2,22430785
8,22445190
6,22429706
3,22449880
1,22449880
6,22449880
3,22456501
1,22456501
1,22435395
2,22435062
1,22434450
6,22434951
6,22431103
1,22445171
8,22429645
8,22429357
8,22429646
6,22431021
6,22426304
1,22431113
6,22426893
6,22430230
1,22429738
1,22430233
6,22426897
6,22426308
6,22426309
8,22435990
2,22431146
6,22434419
6,22429679
6,22429680
6,22426312
1,22424466
8,22431061
6,22434423
6,22424497
6,22431069
6,22431070
1,22434428
6,22434409
6,22431042
6,22434412
6,22429668
6,22426325
6,22434416
6,22426326
6,22431049
6,22429672
6,22431051
6,22430749
6,22430750
6,22431329
6,22435562
6,22431345
1,22430312
6,22435387
6,22430836
6,22435549
6,22435391
1,22430838
6,22430839
8,22430840
3,22450611
2,22435060
2,22430847
1,22435399
1,22430851
6,22431323
6,22431324
2,22435021
1,22430804
6,22439448
6,22430710
6,22430711
6,22435519
6,22435520
8,22430811
6,22430814
6,22435523
8,22435926
8,22440465
6,22430818
1,22435367
6,22435038
6,22430826
1,22430263
6,22431132
8,22430265
6,22430266
6,22430721
6,22431137
6,22435537
1,22435541
6,22435045
1,22435046
6,22431310
6,22431327
1,22435064
6,22431121
6,22431122
1,22434968
6,22429745
6,22434971
6,22429746
2,22435590
1,22431369
2,22436150
8,22431407
8,22436158
1,22430284
6,22430259
6,22430288
6,22435485
6,22430290
6,22430293
6,22435493
6,22445620
6,22439491
6,22435563
1,22435069
6,22431332
6,22431333
6,22435591
6,22431343
2,22435571
8,22435596
1,22440508
6,22435574
6,22430878
6,22435581
6,22431353
6,22431358
2,22436030
3,22451053
