weapon_id,offense_id,nibrs_weapon_id
12,27136896,5561099
12,27128197,5560993
12,27131073,5559810
12,27131572,5561243
12,27136142,5562097
3,27128040,5560594
12,27136144,5562098
12,27124564,5560155
12,27128200,5560994
12,27136147,5562099
12,27131573,5561244
12,27131575,5561245
9,27136149,5562100
12,27131577,5561246
12,27128181,5560989
12,27128022,5560590
12,27136115,5561906
12,27130429,5561023
12,27128023,5560591
12,27131554,5561036
3,27130430,5561024
22,27136117,5561907
12,27128052,5560597
12,27128053,5560598
12,27124586,5560156
12,27124588,5560157
12,27132226,5559833
12,27124589,5560158
9,27128054,5560599
12,27124591,5560159
22,27124592,5560160
12,27131093,5559813
22,27128215,5561190
12,27132232,5559834
12,27132235,5559835
12,27124595,5560161
12,27124596,5560162
12,27124597,5560163
12,27128684,5562445
12,27132238,5559836
9,27124599,5560164
12,27124602,5560165
12,27128224,5561191
12,27136166,5562103
12,27128225,5561192
12,27136167,5562104
12,27128226,5561193
12,27128689,5562446
12,27128184,5560990
12,27131116,5559816
12,27131119,5559817
12,27132244,5559837
12,27131122,5559818
12,27128231,5561194
12,27132247,5559838
12,27131124,5559819
12,27136184,5562105
12,27136125,5561908
9,27128029,5560592
3,27128187,5560991
12,27128031,5560593
12,27130442,5561223
12,27128193,5560992
12,27131067,5559807
12,27136133,5562094
12,27131068,5559808
12,27136134,5562095
12,27124559,5560154
12,27131071,5559809
12,27136136,5562096
12,27136186,5562106
12,27128693,5562447
12,27132257,5560023
12,27131127,5559820
3,27132258,5560024
12,27124618,5560362
12,27124619,5560363
12,27128236,5561195
12,27128697,5562448
12,27128700,5562618
12,27128238,5561196
12,27124624,5560364
12,27128702,5562619
12,27128704,5562620
12,27132270,5560025
12,27132271,5560026
12,27136326,5562525
12,27134326,5559649
12,27124605,5560166
12,27131105,5559814
12,27131108,5559815
12,27142151,5563446
19,27128719,5562622
12,27128205,5560995
12,27128048,5560595
12,27131079,5559811
12,27132216,5559829
12,27132217,5559830
12,27132220,5559831
12,27132222,5559832
12,27131084,5559812
12,27128050,5560596
12,27136156,5562101
12,27136157,5562102
12,27158487,5569283
12,27130426,5561021
3,27128019,5560587
3,27131550,5561035
12,27128020,5560588
3,27130427,5561022
12,27128021,5560589
12,27127557,5562433
12,27130425,5561020
12,27128256,5561202
12,27132281,5560029
12,27124644,5560369
12,27131159,5560011
12,27132282,5560030
12,27131162,5560012
12,27128260,5561203
18,27128262,5561204
12,27128729,5562623
9,27125325,5562397
18,27131188,5560020
12,27128264,5561205
12,27128266,5561206
3,27131167,5560013
12,27128267,5561207
12,27131168,5560014
12,27124655,5560370
12,27132289,5560031
12,27128271,5561208
12,27132290,5560032
12,27132291,5560033
12,27124658,5560371
18,27124659,5560372
12,27132292,5560034
12,27136853,5561093
12,27128273,5561209
12,27136862,5561094
12,27128741,5562625
12,27136863,5561095
12,27128742,5562626
12,27135989,5561685
12,27135990,5561686
18,27124662,5560373
12,27135991,5561687
10,27131170,5560015
12,27146212,5565677
3,27128738,5562624
12,27145461,5563478
12,27125341,5562400
12,27128743,5562627
18,27128744,5562628
18,27135996,5561688
10,27128746,5562629
12,27128282,5561210
12,27124668,5560374
18,27128749,5562630
12,27124670,5560375
12,27128752,5562631
9,27128754,5562632
12,27131175,5560016
12,27124673,5560376
12,27128758,5562633
12,27128286,5561403
12,27136006,5561689
12,27131176,5560017
20,27124676,5560377
12,27131178,5560018
12,27136010,5561690
12,27124678,5560378
12,27128296,5561404
