arrestee_id,weapon_id,nibrs_arrestee_weapon_id
12170024,1,12165376
12158047,1,12160507
12142635,1,12203416
12017582,1,12061392
12017495,1,12060322
11969999,1,11978007
11966830,1,11961060
11962273,1,11955601
11950275,1,12696254
12550794,1,12595872
12549650,1,12594745
12547352,1,12591483
12544236,1,12481405
12152589,1,12191573
11950276,1,12000886
11972341,1,11981312
11961130,1,11955521
12536712,1,12472578
12004486,1,12056404
12004484,1,12056402
12190045,1,12146000
12190033,1,12145989
12388799,1,12676899
12385602,1,12676895
12384475,1,12676893
12392260,1,12676882
12382289,1,12676539
12377910,1,12676503
12466556,1,12675823
12422878,1,12675129
12419566,3,12675096
12467690,1,12674278
12373447,1,12673803
12449667,1,12673509
12448541,1,12673495
12445293,1,12673479
12567577,1,12672730
12458760,1,12672645
12567509,1,12672335
12565366,1,12672333
12401132,1,12672110
12559680,1,12671950
12450799,1,12671790
12449734,1,12671789
12401071,1,12671716
12554025,1,12671510
12552989,1,12597055
12549669,1,12594764
12550675,1,12593790
12548581,1,12593685
12548580,1,12593684
12549549,1,12592678
12549548,1,12592677
12546389,1,12592498
12546351,1,12592460
12571966,1,12557262
12571964,1,12557260
12571963,1,12557259
12571961,1,12557257
12571958,1,12557254
12571957,1,12557253
12571955,1,12557251
12571954,1,12557250
12571952,1,12557248
12144648,1,12201467
12144647,1,12201466
12144646,1,12201465
12144645,1,12201464
12141461,1,12201281
12171369,1,12169645
12171368,1,12169644
12171367,1,12169643
12171366,1,12169642
12171365,1,12169641
12171364,1,12169640
12171362,1,12169638
12171361,1,12169637
12171360,1,12169636
12171359,1,12169635
12171358,1,12169634
12171357,1,12169633
12166036,1,12169298
12157169,1,12163553
12159165,1,12161609
12156989,1,12160446
12172384,1,12158237
12170381,1,12153994
12168223,1,12153834
12168222,1,12153833
12168221,1,12153832
12168220,1,12153831
12168219,1,12153830
12168218,1,12153829
12168217,1,12153828
12168216,1,12153827
12168215,1,12153826
12168214,1,12153825
12560866,1,12602760
12559759,1,12602664
12559751,1,12602656
12446397,1,12452236
12454264,1,12441198
12454209,1,12441143
12451994,1,12440018
12451993,1,12440017
12453072,1,12439052
12366738,1,12367909
12366728,1,12367899
12366727,1,12367898
12366650,1,12366836
12366608,1,12365812
12366607,1,12365811
12364378,1,12363606
12363295,1,12363514
12361081,1,12361322
12373479,1,12355818
12394490,1,12353165
12396571,1,12352247
12401078,1,12343123
12403114,1,12341220
12398852,1,12338856
12217931,1,12705498
12089619,1,12705302
12140362,1,12694159
12538724,1,12675505
12472023,1,12674660
12208849,1,12261637
12208848,1,12261636
12207823,1,12261613
12208829,1,12260633
12208828,1,12260632
12544326,1,12482481
12538813,1,12472683
12538799,1,12472669
12538781,1,12471671
12538780,1,12471670
12538777,1,12471667
12538764,1,12471654
12538759,1,12471649
12538755,1,12471645
12538739,1,12471629
12538738,1,12471628
12538729,1,12470639
12538728,1,12470638
12538720,1,12470631
12538715,1,12470626
12538714,1,12470625
12538707,1,12470618
12538705,1,12470616
12538703,1,12470614
12538692,1,12470603
12538691,1,12470602
12538688,1,12470599
12538687,1,12470598
12538686,1,12470597
12538679,1,12470590
12409547,1,12459502
12409448,1,12458413
12409373,1,12457348
12409372,1,12457347
12446406,1,12452245
12457642,1,12444516
12454263,1,12441197
12454262,1,12441196
12144743,1,12202542
12143637,1,12202435
12142605,1,12202405
12142408,1,12199264
12142407,1,12199263
12154732,1,12198998
12153888,1,12195799
12152801,1,12195701
12151618,1,12193554
12152503,1,12190511
12149280,1,12190287
12148275,1,12190273
12150292,1,12189319
12151327,1,12188371
12142752,1,12187836
12148020,1,12187070
12173369,1,12184434
12187784,1,12176979
12186707,1,12176910
12187732,1,12175942
12179120,1,12175391
12176915,1,12174188
12175872,1,12174143
12175871,1,12174142
12182261,1,12173512
12180046,1,12173356
12176906,1,12173197
12183249,1,12172526
12182091,1,12171381
12176778,1,12171107
12120458,1,12115530
11943942,1,12002533
11977857,1,11984774
11985573,1,11971625
11985494,1,11970561
11969038,1,11968530
11967888,1,11961120
12564161,1,12569437
12564160,1,12569436
12564121,1,12569398
12564107,1,12569384
12560809,1,12601720
12560795,1,12601706
