victim_id,circumstances_id,justifiable_force_id
67816368,9,
67816387,17,
67813111,1,
67813112,10,
67813126,1,
67810859,6,
67810884,6,
67810977,9,
67811913,1,
67811930,1,
67812000,10,
67812006,3,
67812028,1,
67813073,1,
67821692,9,
67821716,1,
67820598,1,
67822700,1,
67822711,9,
67820666,10,
67820700,1,
67820711,1,
67822723,1,
67822759,6,
67819531,6,
67817337,1,
67817338,1,
67817339,1,
67817479,1,
67834772,10,
67832523,1,
67832524,1,
67858968,1,
67859934,9,
67859949,1,
67859970,1,
67855597,1,
67855630,1,
67855631,1,
67855640,6,
67855645,9,
67855646,9,
67855649,10,
67854527,1,
67866548,9,
67866555,1,
67864390,10,
67866642,1,
67866644,9,
67865434,10,
67863346,9,
67863356,6,
67861041,1,
67861095,10,
67862160,9,
67862278,6,
67863236,10,
67872010,9,
67872040,1,
67870857,9,
67870858,9,
67870934,1,
67871000,9,
67871001,2,
67871010,1,
67871011,1,
67873170,9,
67873171,1,
67873172,1,
67873174,9,
67873175,9,
67869786,1,
67869803,1,
67867587,1,
67867651,10,
67867685,1,
67867705,9,
67867708,9,
67868671,1,
67868672,1,
68094169,6,
68094170,6,
68094186,9,
68094236,1,
68094239,6,
68094248,1,
68094254,1,
68094255,1,
68094256,1,
68094264,10,
68103799,9,
68103808,1,
68104962,1,
68103915,9,
68103916,9,
68103978,10,
68102737,1,
68102740,9,
68105039,9,
68104924,10,
68102863,10,
68102864,10,
68102877,10,
68102882,9,
68102889,9,
68100553,10,
68100563,10,
68100577,10,
68100578,10,
68100579,10,
68101649,9,
68101650,9,
68101787,9,
68101699,1,
68101700,9,
68101701,9,
68101702,9,
68101703,9,
68101704,6,
68099481,10,
68101720,10,
68099490,1,
68099492,10,
68099493,10,
68099523,10,
68099558,10,
68099573,10,
68099574,1,
68099582,1,
68099583,6,
68099584,6,
68108290,9,
68109255,10,
68109256,10,
68109299,9,
68109300,9,
68109331,1,
68109359,10,
68109360,10,
68110316,10,
68110329,6,
68110358,1,
68110418,1,
68108259,10,
68108280,1,
68108281,1,
68108282,1,
68105978,9,
68106071,1,
68107106,10,
68107125,1,
68108158,9,
68108171,1,
68108174,9,
68108175,9,
68108176,9,
68107159,1,
68107166,9,
68108200,10,
68108206,10,
67832525,1,
67832526,1,
67824865,1,
67824974,6,
67825010,1,
67825011,1,
67825012,1,
67826067,9,
67826068,9,
67826069,9,
67825988,1,
67825997,6,
67823861,1,
67823932,1,
67823933,1,
67828194,9,
67828205,1,
67828226,10,
67828227,10,
67828228,10,
67828229,10,
67828230,10,
67828232,1,
67829218,1,
67827156,1,
67830406,1,
67831395,1,
67831419,1,
67831492,9,
67840316,9,
67841421,1,
67835888,1,
67835921,1,
67878565,9,
67878571,1,
67878612,9,
67878613,9,
67878701,1,
67878702,1,
67877448,1,
67874280,1,
67874315,1,
67874322,10,
67875249,1,
67875298,1,
67875391,1,
67876481,1,
67876482,1,
67876486,9,
67876523,9,
67876438,1,
67874200,1,
67874207,9,
67874208,9,
67874224,9,
67874225,9,
67883108,10,
67883109,1,
67884188,1,
67880923,1,
67881883,1,
67881930,1,
67882000,2,
67882001,2,
67882014,10,
67879671,9,
67891804,1,
67889640,1,
67889698,9,
67889751,9,
67891943,9,
67890784,1,
67890815,9,
67888607,9,
