arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
14454598,52852544,2,10003235,2010-06-15 00:00:00,2,N,35,5,27,M,2,2,R,,,,,
14430044,52792380,1,71668,2010-02-27 00:00:00,2,N,35,5,22,M,2,2,R,,,,,
14395422,52709013,1,N10-4747,2010-12-14 00:00:00,2,N,35,5,19,M,2,2,R,,,,,
14888867,54489441,1,000000105374,2010-11-22 00:00:00,2,N,35,5,29,M,1,2,R,,,,,
14888775,54488450,2,000000104627,2010-10-31 00:00:00,2,N,35,5,24,M,1,2,R,,,,,
14888764,54488432,2,000000104561,2010-10-29 00:00:00,2,N,35,5,39,F,1,2,R,,,,,
14888763,54488432,1,000000104560,2010-10-29 00:00:00,2,N,35,5,37,M,1,2,R,,,,,
14884576,54478671,1,000000098858,2010-05-23 00:00:00,2,N,35,5,16,M,1,2,R,R,,,,
14884518,54477752,2,000000099156,2010-05-13 00:00:00,2,N,35,5,37,F,1,2,R,,,,,
14884511,54477730,1,000000098370,2010-05-10 00:00:00,2,N,35,5,25,F,1,2,R,,,,,
14883460,54475761,1,000000097039,2010-04-01 00:00:00,2,N,35,5,34,M,1,2,R,,,,,
14883438,54475707,1,000000096915,2010-03-28 00:00:00,2,N,35,5,17,M,1,2,R,R,,,,
14883431,54474882,1,000000096818,2010-03-25 00:00:00,2,N,35,5,19,M,1,2,R,,,,,
14805395,54282402,1,P10000895,2010-09-07 00:00:00,2,N,35,5,28,M,1,3,N,,,,,
14406629,52738093,1,2010-0046001,2010-03-02 00:00:00,2,N,5,5,14,M,1,2,R,R,,,,
14907857,54533016,1,N10-2501,2010-06-22 00:00:00,2,N,5,5,19,M,1,2,R,,,,,
14907791,54532030,1,N10-2340,2010-06-09 00:00:00,2,N,5,5,19,M,1,2,R,,,,,
14844089,54379762,2,2010-0289001,2010-09-04 00:00:00,2,N,5,5,15,F,1,2,R,R,,,,
