arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
11795650,43961478,2,20082193700,2008-05-23 00:00:00,1,N,52,5,43,M,1,1,N,,,,,
11796761,43968226,1,20084056100,2008-09-16 00:00:00,1,N,13,5,56,M,2,2,N,,,,,
11797743,43969286,1,20084478400,2008-10-14 00:00:00,1,N,13,5,24,M,2,2,R,,,,,
11795588,43959597,2,20081737000,2008-04-24 00:00:00,1,N,13,5,53,M,2,2,N,,,,,
11795587,43959597,1,20081737000,2008-04-24 00:00:00,1,N,13,5,52,M,2,2,N,,,,,
11795651,43961478,3,20082193700,2008-05-23 00:00:00,1,N,52,5,40,M,2,1,N,,,,,
11795539,43958497,1,20081180200,2008-03-21 00:00:00,1,N,53,5,56,M,2,1,N,,,,,
11797834,43973080,5,20085309200,2008-12-12 00:00:00,1,N,53,5,15,F,2,2,R,R,,,,
11797833,43973080,4,20085309200,2008-12-12 00:00:00,1,N,53,5,16,F,2,2,R,R,,,,
11797832,43973080,3,20085309200,2008-12-12 00:00:00,1,N,53,5,15,F,2,2,R,R,,,,
11794523,43955614,2,20080243000,2008-01-17 00:00:00,1,N,53,5,14,M,2,2,N,R,,,,
11795525,43957621,1,20081027400,2008-03-11 00:00:00,1,N,53,5,16,M,2,2,R,R,,,,
11797801,43971275,1,20084972100,2008-11-17 00:00:00,1,N,11,5,29,M,1,2,N,,,,,
11797847,43973148,1,20085423400,2008-12-20 00:00:00,1,N,11,5,23,M,2,2,R,,,,,
11796718,43966350,1,20083652100,2008-08-22 00:00:00,1,N,14,5,17,M,2,2,N,R,,,,
11796717,43966348,1,20083650400,2008-08-22 00:00:00,1,N,14,5,20,M,2,2,N,,,,,
11796705,43966272,1,20083532700,2008-08-15 00:00:00,1,N,14,5,17,M,2,2,N,R,,,,
11797716,43968357,1,20084241600,2008-09-28 00:00:00,1,N,14,5,15,M,2,2,N,R,,,,
11796640,43963429,1,20082806200,2008-07-02 00:00:00,1,N,14,5,16,M,2,2,R,R,,,,
11795615,43960507,1,20081906200,2008-05-05 00:00:00,1,N,14,5,37,M,2,2,N,,,,,
11796589,43961515,1,20082265200,2008-05-28 00:00:00,1,N,14,5,31,M,2,2,N,,,,,
11795519,43957563,1,20080907400,2008-03-02 00:00:00,1,N,11,5,25,M,1,1,N,,,,,
11797853,43973162,1,20085452400,2008-12-23 00:00:00,1,N,7,5,20,M,2,2,N,,,,,
11795642,43961453,1,20082159700,2008-05-21 00:00:00,1,N,7,5,17,M,2,2,R,R,,,,
11795641,43961452,2,20082159400,2008-05-21 00:00:00,1,N,7,5,19,M,2,2,N,,,,,
11795640,43961452,1,20082159400,2008-05-21 00:00:00,1,N,7,5,21,M,2,2,R,,,,,
11797745,43969297,1,20084491800,2008-10-15 00:00:00,1,N,7,5,19,M,2,2,N,,,,,
11796671,43964421,1,20083103800,2008-07-21 00:00:00,1,N,7,5,15,M,2,2,R,R,,,,
11796670,43964418,1,20083102100,2008-07-21 00:00:00,1,N,7,5,15,M,2,2,N,R,,,,
11796662,43964359,1,20083020600,2008-07-16 00:00:00,1,N,7,5,17,M,2,2,N,R,,,,
11796587,43961511,1,20082259900,2008-05-28 00:00:00,1,N,7,5,20,M,2,2,N,,,,,
11795536,43957667,1,20081122000,2008-03-17 00:00:00,1,N,7,5,37,M,2,2,N,,,,,
11795509,43957541,1,20080841200,2008-02-27 00:00:00,1,N,7,5,33,M,2,2,R,,,,,
11797857,43973183,1,20085511200,2008-12-29 00:00:00,2,N,7,5,44,M,2,2,N,,,,,
11797779,43971147,1,20084792700,2008-11-05 00:00:00,2,N,7,5,31,F,2,2,N,,,,,
11796616,43962512,1,20082597200,2008-06-19 00:00:00,3,N,28,5,45,F,2,2,N,,,,,
11795510,43957541,2,20080841200,2008-02-27 00:00:00,1,N,7,5,48,M,1,2,R,,,,,
