arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
19825365,70231530,2,24623,2013-04-04 00:00:00,1,N,45,5,23,M,1,,R,,,,,
19843161,70275818,1,31313,2013-12-31 00:00:00,1,M,46,5,33,F,2,2,R,,,,,
19870407,70372256,1,13-000951-91,2013-06-14 00:00:00,1,C,23,5,53,M,2,2,R,,,,,
19870406,70372254,1,13-000884-88,2013-05-29 00:00:00,1,C,23,5,41,F,2,2,R,,,,,
19870405,70372253,1,13-000882-87,2013-05-28 00:00:00,1,M,23,5,37,M,2,2,N,,,,,
19870403,70372246,1,13-000759-84,2013-05-20 00:00:00,1,C,23,5,54,M,2,2,R,,,,,
19870401,70372242,1,13-000718-82,2013-05-01 00:00:00,1,C,23,5,26,M,2,2,R,,,,,
19870397,70372231,1,13-000570-78,2013-04-10 00:00:00,1,M,23,5,53,M,2,2,R,,,,,
19870396,70372230,1,13-000559-78,2013-04-08 00:00:00,1,M,23,5,51,F,2,2,R,,,,,
19870393,70372227,1,13-000509-77,2013-04-26 00:00:00,1,C,23,5,34,M,2,2,N,,,,,
19870381,70372208,1,13-000291-70,2013-03-02 00:00:00,1,M,23,5,28,M,2,2,N,,,,,
19812089,70194982,1,16489,2013-10-31 00:00:00,2,N,23,5,39,M,2,2,R,,,,,
19852967,70312496,1,003286,2013-01-24 00:00:00,2,N,23,5,59,M,2,2,R,,,,,
19845267,70281603,2,13-001344-1,2013-03-04 00:00:00,2,N,23,5,36,F,2,3,R,,,,,
19845388,70282620,1,13-003481-1,2013-06-01 00:00:00,3,N,23,5,46,F,2,3,N,,,,,
19845386,70282616,1,13-003454-1,2013-05-31 00:00:00,3,N,23,5,32,F,2,3,N,,,,,
19845377,70282605,1,13-003333-1,2013-05-26 00:00:00,3,N,23,5,19,F,2,3,R,,,,,
19845351,70282549,1,13-002879-1,2013-05-07 00:00:00,3,N,23,5,18,F,2,3,N,,,,,
19845344,70282539,1,13-002811-1,2013-05-05 00:00:00,3,N,23,5,20,M,2,3,R,,,,,
19845341,70282533,1,13-002714-1,2013-05-01 00:00:00,3,N,23,5,24,F,2,3,N,,,,,
19844292,70280688,2,13-000197-1,2013-01-10 00:00:00,3,N,23,5,13,M,2,3,U,R,,,,
19846387,70284419,2,13-005588-1,2013-08-24 00:00:00,3,N,23,5,22,F,2,3,N,,,,,
