arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
6139691,24119168,1,010400178301,2004-03-15 00:00:00,1,C,16,5,28,M,1,2,R,,,,,
6137656,24092284,1,1805,2004-02-19 00:00:00,1,C,16,5,55,M,1,2,R,,,,,
6137654,24092282,1,04CR16,2004-01-29 00:00:00,1,C,16,5,21,M,1,2,R,,,,,
6137653,24092278,1,1683,2004-01-15 00:00:00,1,C,16,5,25,M,1,2,R,,,,,
6136580,24076007,1,040828-04085,2004-09-08 00:00:00,1,C,16,5,42,M,1,2,N,,,,,
6139674,24119133,1,010400164801,2004-03-10 00:00:00,1,C,16,5,29,F,1,2,R,,,,,
6139662,24118445,1,010400153701,2004-03-06 00:00:00,1,C,16,5,20,M,1,2,R,,,,,
6139655,24118436,3,010400150003,2004-03-04 00:00:00,1,C,16,5,31,M,1,2,R,,,,,
6139653,24118436,1,010400150001,2004-03-04 00:00:00,1,C,16,5,22,F,1,2,R,,,,,
6139624,24118371,1,010400131901,2004-02-27 00:00:00,1,C,16,5,23,M,1,2,N,,,,,
6139623,24118369,1,010400131701,2004-02-26 00:00:00,1,C,16,5,38,M,1,2,R,,,,,
6138642,24107657,1,04J5192,2004-12-27 00:00:00,1,C,16,5,40,F,1,2,R,,,,,
6138638,24107644,1,04J5052,2004-12-10 00:00:00,1,C,16,5,23,M,1,2,R,,,,,
6138630,24106982,1,04J4905,2004-11-18 00:00:00,1,C,16,5,31,M,1,2,R,,,,,
6138620,24106955,2,04J4600B,2004-10-06 00:00:00,1,C,16,5,22,F,1,2,R,,,,,
6138619,24106955,1,04J4600,2004-10-06 00:00:00,1,C,16,5,20,M,1,2,R,,,,,
6138614,24106930,1,04J2807,2004-07-11 00:00:00,1,C,16,5,52,M,1,2,R,,,,,
6138612,24106925,2,56346,2004-07-06 00:00:00,1,C,16,5,33,M,1,2,N,,,,,
6138611,24106925,1,53509,2004-07-06 00:00:00,1,C,16,5,30,F,1,2,N,,,,,
6138610,24106924,1,04J2645,2004-07-04 00:00:00,1,C,16,5,30,F,1,2,N,,,,,
6138609,24106915,2,56227,2004-06-23 00:00:00,1,C,16,5,28,F,1,2,R,,,,,
6138608,24106915,1,56181,2004-06-23 00:00:00,1,C,16,5,31,M,1,2,R,,,,,
6136528,24075274,1,040377-77102,2004-04-24 00:00:00,1,C,16,5,55,M,1,2,N,,,,,
6136513,24075245,1,040235-04023,2004-03-17 00:00:00,1,C,16,5,24,M,1,2,R,,,,,
6139592,24118299,1,010400108901,2004-02-17 00:00:00,1,C,16,5,37,M,1,2,N,,,,,
6139575,24117593,1,010400092901,2004-02-10 00:00:00,1,C,16,5,18,M,1,2,R,,,,,
6139559,24117566,2,010400150002,2004-03-04 00:00:00,1,C,16,5,31,M,1,2,R,,,,,
6139558,24117566,1,010400150001,2004-03-04 00:00:00,1,C,16,5,22,F,1,2,R,,,,,
6138606,24106913,1,04J2316,2004-06-21 00:00:00,1,C,16,5,47,M,1,2,R,,,,,
6138598,24106885,1,04J1469,2004-04-28 00:00:00,1,C,16,5,30,M,1,2,R,,,,,
6138596,24106881,1,04J1398,2004-04-21 00:00:00,1,C,16,5,15,M,1,2,R,R,,,,
6138591,24106864,10,55436,2004-03-31 00:00:00,1,C,16,5,14,F,1,2,R,R,,,,
6138589,24106864,6,55435,2004-03-31 00:00:00,1,C,16,5,16,F,1,2,R,R,,,,
6138588,24106864,3,19556,2004-03-31 00:00:00,1,C,16,5,22,M,1,2,R,,,,,
6138586,24106862,2,28491,2004-03-24 00:00:00,1,C,16,5,37,M,1,2,N,,,,,
6138585,24106862,1,28184,2004-03-24 00:00:00,1,C,16,5,43,F,1,2,N,,,,,
6138583,24106858,1,04J0636,2004-02-15 00:00:00,1,C,16,5,42,M,1,2,R,,,,,
6138580,24106847,1,04J0225,2004-01-18 00:00:00,1,C,16,5,22,M,1,2,N,,,,,
6138579,24106846,1,04J0194,2004-01-15 00:00:00,1,C,16,5,22,M,1,2,N,,,,,
6138578,24106844,1,04J0090,2004-01-08 00:00:00,1,C,16,5,49,M,1,2,R,,,,,
6137472,24089838,1,9154-04,2004-08-27 00:00:00,1,C,16,5,18,M,1,2,R,,,,,
6139508,24116800,1,010400033001,2004-01-16 00:00:00,1,C,16,5,22,F,1,2,N,,,,,
6139495,24116780,1,010400022801,2004-01-11 00:00:00,1,C,16,5,19,M,1,2,N,,,,,
6139489,24116770,1,010400016701,2004-01-07 00:00:00,1,C,16,5,17,F,1,2,R,R,,,,
6138515,24106052,1,2004-0965,2004-06-25 00:00:00,1,C,16,5,42,M,1,2,N,,,,,
6138494,24106003,1,040263,2004-04-07 00:00:00,1,C,16,5,32,M,1,2,N,,,,,
6138487,24105332,1,2004-0338,2004-02-25 00:00:00,1,C,16,5,30,M,1,2,N,,,,,
6138479,24105313,1,2004-0130,2004-01-23 00:00:00,1,C,16,5,28,M,1,2,R,,,,,
6138472,24105288,1,SP04-148901,2004-02-28 00:00:00,1,C,16,5,20,M,1,2,N,,,,,
6137458,24089799,1,9089-04,2004-08-06 00:00:00,1,C,16,5,20,M,1,2,R,,,,,
6137456,24089793,1,9075-04,2004-08-05 00:00:00,1,C,16,5,21,F,1,2,R,,,,,
6137454,24089784,1,9052-04,2004-08-01 00:00:00,1,C,16,5,25,M,1,2,R,,,,,
6136374,24074412,3,CA2004000719,2004-04-18 00:00:00,1,C,16,5,40,M,1,2,N,,,,,
6139484,24116764,1,010400013801,2004-01-07 00:00:00,1,C,16,5,20,M,1,2,N,,,,,
6124687,26989940,1,H040510,2004-01-22 00:00:00,1,C,16,5,56,M,1,2,U,,,,,
6123634,26974523,1,04-5465A,2004-02-26 00:00:00,1,C,16,5,19,M,1,2,R,,,,,
6123611,26973760,1,04-5095A,2004-02-21 00:00:00,1,C,16,5,15,F,1,2,R,R,,,,
6123607,26973742,1,04-5002A,2004-02-21 00:00:00,1,C,16,5,19,M,1,2,R,,,,,
6123602,26973733,1,04-4966A,2004-02-20 00:00:00,1,C,16,5,21,F,1,2,R,,,,,
6123562,26972952,1,04-4299A,2004-02-14 00:00:00,1,C,16,5,48,M,1,2,R,,,,,
