arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
12741056,47313380,1,0906J109,2009-01-31 00:00:00,2,N,35,5,16,M,1,2,R,R,,,,
12739954,47310336,3,09000021966,2009-12-20 00:00:00,2,N,35,5,20,M,1,2,N,,,,,
12740988,47311406,2,09000022646,2009-12-31 00:00:00,2,N,35,5,16,F,1,2,R,R,,,,
12740942,47311296,1,09000022385,2009-12-28 00:00:00,2,N,35,5,18,F,1,2,N,,,,,
12739935,47309493,1,09000021820,2009-12-18 00:00:00,2,N,35,5,22,M,1,2,R,,,,,
12739929,47309464,1,09000021752,2009-12-18 00:00:00,2,N,35,5,18,F,1,2,N,,,,,
12739900,47309387,1,09000021550,2009-12-15 00:00:00,2,N,35,5,17,M,1,2,R,R,,,,
12739885,47308537,1,09000021453,2009-12-14 00:00:00,2,N,35,5,17,F,1,2,R,R,,,,
12738768,47305576,1,09000020033,2009-11-21 00:00:00,2,N,35,5,17,M,1,2,R,R,,,,
12738762,47305560,1,09000019982,2009-11-29 00:00:00,2,N,35,5,18,M,1,2,R,,,,,
12740889,47310356,3,09000022014,2009-12-21 00:00:00,2,N,35,5,14,M,1,2,R,R,,,,
12740888,47310356,2,09000022014,2009-12-21 00:00:00,2,N,35,5,14,M,1,2,R,R,,,,
12739846,47308419,1,09000021117,2009-12-10 00:00:00,2,N,35,5,21,M,1,2,R,,,,,
12739836,47307580,3,09000021022,2009-12-08 00:00:00,2,N,35,5,16,M,1,2,R,R,,,,
12739835,47307580,2,09000021022,2009-12-08 00:00:00,2,N,35,5,15,M,1,2,R,R,,,,
12739834,47307580,1,09000021022,2009-12-08 00:00:00,2,N,35,5,15,M,1,2,R,R,,,,
12739826,47307538,2,09000020935,2009-12-06 00:00:00,2,N,35,5,20,M,1,2,N,,,,,
12739825,47307538,1,09000020935,2009-12-06 00:00:00,2,N,35,5,20,M,1,2,R,,,,,
12738732,47304686,1,09000019809,2009-11-17 00:00:00,2,N,35,5,16,M,1,2,R,R,,,,
12739799,47307481,1,09000020768,2009-12-04 00:00:00,2,N,35,5,17,M,1,2,R,R,,,,
12739793,47307474,1,09000020752,2009-12-04 00:00:00,2,N,35,5,19,M,1,2,N,,,,,
12738684,47303707,1,09000019399,2009-11-11 00:00:00,2,N,35,5,21,M,1,2,R,,,,,
