"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,26266194,90120516,2,03-MAR-17,2,"N",51,5,43,"M",1,1,"R","","",43,0
2017,26266196,90120516,1,03-MAR-17,3,"N",51,5,54,"F",1,2,"R","","",54,0
2017,26266217,90120550,1,05-MAR-17,3,"N",29,5,45,"M",1,1,"R","","",45,0
2017,26266232,90120604,1,07-MAR-17,1,"N",16,5,19,"M",1,2,"R","","",19,0
2017,26266269,90120691,1,12-MAR-17,2,"N",16,5,18,"M",1,2,"R","","",18,0
2017,26266284,90120720,1,13-MAR-17,1,"N",16,5,24,"M",1,2,"R","","",24,0
2017,26266281,90120720,2,13-MAR-17,1,"N",16,5,26,"M",1,1,"R","","",26,0
2017,26266306,90120771,1,16-MAR-17,1,"N",51,5,27,"F",1,2,"R","","",27,0
2017,26266310,90120788,1,16-MAR-17,1,"N",16,5,25,"M",1,2,"R","","",25,0
2017,26266317,90120816,1,18-MAR-17,1,"C",23,5,22,"F",1,2,"R","","",22,0
2017,26266328,90120833,3,18-MAR-17,1,"M",23,5,22,"F",1,2,"R","","",22,0
2017,26266324,90120833,1,18-MAR-17,3,"N",23,5,25,"M",1,2,"N","","",25,0
2017,26266327,90120833,2,18-MAR-17,1,"N",23,5,25,"M",1,2,"R","","",25,0
2017,26266333,90120838,1,19-MAR-17,2,"N",16,5,25,"M",1,2,"N","","",25,0
2017,26266397,90120971,1,25-MAR-17,1,"N",35,5,26,"M",1,2,"N","","",26,0
2017,26266403,90120977,1,25-MAR-17,1,"N",35,5,28,"M",2,2,"N","","",28,0
2017,26266420,90121000,1,29-MAR-17,1,"N",5,5,29,"M",1,2,"R","","",29,0
2017,26266455,90121101,1,31-MAR-17,3,"N",27,5,20,"M",1,2,"R","","",20,0
2017,26027905,89449668,1,06-JAN-17,1,"C",45,5,38,"M",1,2,"R","","",38,0
2017,27450548,93776094,1,07-OCT-17,2,"C",16,5,33,"M",1,1,"N","","",33,0
2017,27450555,93776108,1,09-OCT-17,1,"C",21,5,55,"F",1,2,"R","","",55,0
2017,27450552,93776109,1,03-OCT-17,2,"C",35,5,26,"F",1,1,"R","","",26,0
2017,27450553,93776109,2,03-OCT-17,2,"C",35,5,35,"M",1,1,"R","","",35,0
