arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
1575721,6647245,1,9800045,1998-01-02 00:00:00,3,N,45,5,17,M,2,2,N,R,,,,
1575722,6647245,2,9800045,1998-01-02 00:00:00,3,N,5,5,18,M,2,2,N,,,,,
1575723,6647246,1,9800088,1998-01-03 00:00:00,3,N,28,5,17,M,2,3,N,R,,,,
1575724,6647246,2,9800088,1998-08-28 00:00:00,3,N,11,5,22,M,2,3,N,,,,,
1575728,6647247,4,9800094,1998-01-03 00:00:00,3,N,23,5,16,F,2,2,N,R,,,,
1575727,6647247,3,9800094,1998-01-03 00:00:00,3,N,23,5,18,F,2,2,N,,,,,
1575726,6647247,2,9800094,1998-01-03 00:00:00,3,N,23,5,23,F,2,2,N,,,,,
1575725,6647247,1,9800094,1998-01-03 00:00:00,3,N,23,5,21,F,2,2,N,,,,,
1575729,6647248,1,9800119,1998-01-04 00:00:00,3,N,23,5,16,M,1,2,R,R,,,,
1575731,6647249,2,9800151,1998-01-06 00:00:00,3,N,21,5,15,M,1,2,R,R,,,,
1575730,6647249,1,9800151,1998-01-06 00:00:00,3,N,21,5,15,M,1,2,R,R,,,,
1575733,6647250,2,9800253,1998-01-08 00:00:00,3,N,23,5,26,M,1,1,N,,,,,
1575732,6647250,1,9800253,1998-01-08 00:00:00,3,N,23,5,26,M,1,1,N,,,,,
1575734,6647251,1,9800316,1998-01-10 00:00:00,3,N,23,5,20,M,1,2,N,,,,,
1575736,6647252,2,9800348,1998-01-11 00:00:00,3,N,23,5,13,F,1,1,N,R,,,,
1575735,6647252,1,9800348,1998-01-11 00:00:00,3,N,23,5,36,F,1,1,N,,,,,
1575739,6647253,3,9800381,1998-01-12 00:00:00,3,N,23,5,16,F,2,2,N,R,,,,
1575738,6647253,2,9800381,1998-01-12 00:00:00,3,N,23,5,20,F,2,2,N,,,,,
1575737,6647253,1,9800381,1998-01-12 00:00:00,3,N,23,5,24,F,2,2,N,,,,,
1575741,6647254,2,9800598,1998-01-18 00:00:00,3,N,23,5,16,F,1,1,N,R,,,,
1575740,6647254,1,9800598,1998-01-18 00:00:00,3,N,23,5,34,F,1,1,N,,,,,
1575742,6647255,1,9800699,1998-01-21 00:00:00,3,N,23,5,17,M,1,2,N,R,,,,
1575745,6647256,3,9800718,1998-01-22 00:00:00,3,N,23,5,19,M,1,2,N,,,,,
1575744,6647256,2,9800718,1998-01-22 00:00:00,3,N,23,5,19,M,2,2,N,,,,,
1575743,6647256,1,9800718,1998-01-22 00:00:00,3,N,23,5,20,M,2,2,N,,,,,
1575746,6647257,1,9800816,1998-01-24 00:00:00,3,N,51,5,55,F,1,2,R,,,,,
1575747,6647258,1,9800828,1998-01-24 00:00:00,3,N,27,5,16,M,1,2,R,R,,,,
1575750,6647259,3,9800851,1998-01-25 00:00:00,3,N,23,5,25,M,1,2,N,,,,,
1575749,6647259,2,9800851,1998-01-25 00:00:00,3,N,23,5,29,M,1,2,N,,,,,
