arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
21213548,74495705,1,14326838,2014-07-03 00:00:00,3,M,45,5,48,M,2,2,N,,,,,
21213546,74495702,1,14326838,2014-07-03 00:00:00,3,M,45,5,48,M,2,2,N,,,,,
21213545,74495701,1,14326838,2014-07-03 00:00:00,3,C,45,5,48,M,2,2,N,,,,,
21214565,74496608,1,14407979,2014-10-19 00:00:00,3,N,45,5,25,M,2,2,N,,,,,
21214546,74496588,2,14407980,2014-10-19 00:00:00,3,C,45,5,25,M,2,2,N,,,,,
21214543,74496586,2,14407980,2014-10-19 00:00:00,3,M,45,5,25,M,2,2,N,,,,,
21214539,74496584,2,14407980,2014-10-19 00:00:00,3,M,45,5,25,M,2,2,N,,,,,
21214535,74496581,2,14407980,2014-10-19 00:00:00,3,M,45,5,25,M,2,2,N,,,,,
21213542,74495698,1,14326838,2014-07-03 00:00:00,3,M,45,5,48,M,2,2,N,,,,,
21213537,74495690,1,14326838,2014-07-03 00:00:00,3,M,45,5,48,M,2,2,N,,,,,
21213535,74495684,1,14326838,2014-07-03 00:00:00,3,M,45,5,48,M,2,2,N,,,,,
21213530,74495670,1,14326838,2014-07-03 00:00:00,3,M,45,5,48,M,2,2,N,,,,,
21213529,74495669,1,14326826,2014-05-30 00:00:00,3,N,45,5,53,M,2,2,N,,,,,
21212400,74492098,1,14326239,2014-10-03 00:00:00,3,N,45,5,14,M,2,2,N,R,,,,
21212364,74492024,2,14326193,2014-07-08 00:00:00,3,N,45,5,13,M,2,2,N,R,,,,
21214531,74496575,2,14407980,2014-10-19 00:00:00,3,M,45,5,25,M,2,2,N,,,,,
21214529,74496574,2,14407980,2014-10-19 00:00:00,3,M,45,5,25,M,2,2,N,,,,,
21214526,74496571,2,14407980,2014-10-19 00:00:00,3,M,45,5,25,M,2,2,N,,,,,
21214523,74496569,2,14407980,2014-10-19 00:00:00,3,M,45,5,25,M,2,2,N,,,,,
21214521,74496567,2,14407980,2014-10-19 00:00:00,3,M,45,5,25,M,2,2,N,,,,,
21204860,74468929,1,1414002910,2014-08-30 00:00:00,3,N,45,5,40,M,2,2,U,,,,,
21220100,74508284,2,14396777,2014-03-07 00:00:00,3,N,45,5,17,F,2,2,N,R,,,,
21220099,74508284,1,14396778,2014-03-07 00:00:00,3,N,45,5,36,F,2,2,N,,,,,
21204751,74467090,1,1530001338,2015-05-20 00:00:00,3,N,45,5,17,M,2,2,N,R,,,,
21200323,74453849,1,1414001971,2014-06-17 00:00:00,3,N,45,5,12,M,2,2,R,R,,,,
21192660,74435853,1,1414000297,2014-01-28 00:00:00,3,N,45,5,54,M,2,2,R,,,,,
21191486,74429655,1,14349975,2014-11-09 00:00:00,3,N,45,5,27,M,2,2,R,,,,,
21190430,74427678,1,14007391AWS,2014-09-03 00:00:00,1,N,44,5,27,M,1,2,R,,,,,
21202564,74460045,1,1414002162,2014-07-01 00:00:00,1,N,44,5,51,F,1,2,N,,,,,
21169691,74371467,1,14417325,2014-07-05 00:00:00,1,N,44,5,41,F,1,2,R,,,,,
21166409,74364077,1,14415170,2014-06-06 00:00:00,1,N,44,5,45,M,1,2,R,,,,,
21166372,74363997,1,14414323,2014-06-05 00:00:00,1,N,44,5,24,M,1,2,N,,,,,
21165210,74360358,1,14414993,2014-05-23 00:00:00,1,N,44,5,23,F,1,2,R,,,,,
21164139,74358495,1,14414938,2014-05-17 00:00:00,1,N,44,5,52,M,1,2,R,,,,,
21163070,74356627,1,14414781,2014-05-08 00:00:00,1,N,44,5,56,M,1,2,R,,,,,
21226895,74524320,1,14004128AWS,2014-05-25 00:00:00,1,N,16,5,23,M,1,2,N,,,,,
21196957,74444028,1,1414000982,2014-03-26 00:00:00,1,N,16,5,32,M,2,2,R,,,,,
21196956,74444025,2,1414000978,2014-03-26 00:00:00,1,N,16,5,55,M,2,2,R,,,,,
21196955,74444025,1,1414000979,2014-03-26 00:00:00,1,N,16,5,29,M,2,2,R,,,,,
21196954,74444024,1,1414000977,2014-03-26 00:00:00,1,N,16,5,54,M,2,2,R,,,,,
21194777,74439531,1,1414000634,2014-02-26 00:00:00,1,N,16,5,56,M,2,2,R,,,,,
21194765,74439502,1,1414000538,2014-02-20 00:00:00,1,N,16,5,22,M,2,2,R,,,,,
21194761,74439492,1,1414000532,2014-02-19 00:00:00,1,N,16,5,27,M,2,2,R,,,,,
21194758,74439487,2,1414000531,2014-02-19 00:00:00,1,N,16,5,29,M,2,2,N,,,,,
21194757,74439487,1,1414000530,2014-02-19 00:00:00,1,N,16,5,30,M,2,2,R,,,,,
21194756,74439485,1,1414000650,2014-02-27 00:00:00,1,N,16,5,37,M,2,2,R,,,,,
21194749,74439465,1,1414000519,2014-02-18 00:00:00,1,N,16,5,54,M,2,2,R,,,,,
21194748,74439464,1,1414000520,2014-02-18 00:00:00,1,N,16,5,22,M,2,2,N,,,,,
21194746,74439458,1,1414000555,2014-02-21 00:00:00,1,N,16,5,23,M,2,2,R,,,,,
21194742,74439449,1,1414000514,2014-02-17 00:00:00,1,N,16,5,26,M,2,2,R,,,,,
21193694,74437648,1,1414000340,2014-01-31 00:00:00,1,N,16,5,27,M,2,2,R,,,,,
21193693,74437647,1,1414000339,2014-01-31 00:00:00,1,N,16,5,24,M,2,2,R,,,,,
21193687,74437621,1,1414000322,2014-01-30 00:00:00,1,N,16,5,26,M,2,2,R,,,,,
21193677,74436849,1,1414000313,2014-01-30 00:00:00,1,N,16,5,50,M,2,2,R,,,,,
21193673,74436845,1,1414000312,2014-01-29 00:00:00,1,N,16,5,35,M,2,2,R,,,,,
21193670,74436829,2,1414000389,2014-02-05 00:00:00,1,N,16,5,32,M,2,2,R,,,,,
21193668,74436828,1,1414000303,2014-01-28 00:00:00,1,N,16,5,28,M,2,2,R,,,,,
21193665,74436813,1,1414000302,2014-01-28 00:00:00,1,N,16,5,20,M,2,2,R,,,,,
21193663,74436805,2,1414000491,2014-02-14 00:00:00,1,N,16,5,30,M,2,2,R,,,,,
21193662,74436805,1,1414000492,2014-02-14 00:00:00,1,N,16,5,34,F,2,2,R,,,,,
21193660,74436802,1,1414000293,2014-01-27 00:00:00,1,N,16,5,23,M,2,2,R,,,,,
21193658,74436798,1,1414000292,2014-01-27 00:00:00,1,N,16,5,23,M,2,2,R,,,,,
21193655,74436789,1,1414000283,2014-01-26 00:00:00,1,N,16,5,32,M,2,2,R,,,,,
21192657,74435845,1,1414000197,2014-01-17 00:00:00,1,N,16,5,41,M,2,2,R,,,,,
21192653,74435839,1,1414000182,2014-01-16 00:00:00,1,N,16,5,22,M,2,2,R,,,,,
21192652,74435838,1,1414000180,2014-01-16 00:00:00,1,N,16,5,30,M,2,2,R,,,,,
21192648,74435053,1,1414000174,2014-01-16 00:00:00,1,N,16,5,33,M,2,2,R,,,,,
21192642,74435036,1,1414000697,2014-03-04 00:00:00,1,N,16,5,20,M,2,2,R,,,,,
21192632,74435019,1,1414000151,2014-01-15 00:00:00,1,C,16,5,44,M,2,2,R,,,,,
21192631,74435018,1,1414000152,2014-01-15 00:00:00,1,N,16,5,20,M,2,2,R,,,,,
21192629,74435007,4,1414000227,2014-01-20 00:00:00,1,N,16,5,22,M,2,2,N,,,,,
21192628,74435007,3,1414000226,2014-01-20 00:00:00,1,N,16,5,22,F,2,2,R,,,,,
21192627,74435007,2,1414000225,2014-01-20 00:00:00,1,N,16,5,30,M,2,2,R,,,,,
21192626,74435007,1,1414000228,2014-01-20 00:00:00,1,N,16,5,20,F,2,2,R,,,,,
21192625,74435005,1,1414000144,2014-01-14 00:00:00,1,N,16,5,35,F,2,2,R,,,,,
21192604,74434942,1,1414000122,2014-01-13 00:00:00,1,N,16,5,26,M,2,2,N,,,,,
21191599,74433330,1,1414000028,2014-01-04 00:00:00,1,N,16,5,42,M,2,2,N,,,,,
21191597,74433316,1,1414000021,2014-01-03 00:00:00,1,N,16,5,28,M,2,2,N,,,,,
21191595,74433300,2,1414000015,2014-01-02 00:00:00,1,N,16,5,17,M,2,2,N,R,,,,
21191594,74433300,1,1414000014,2014-01-02 00:00:00,1,N,16,5,19,M,2,2,R,,,,,
21191591,74433290,1,1414000011,2014-01-02 00:00:00,1,N,16,5,31,M,2,2,R,,,,,
21156346,74340638,1,14410454,2014-02-24 00:00:00,1,N,16,5,26,M,2,2,R,,,,,
21154171,74336032,1,14410690,2014-01-31 00:00:00,1,N,16,5,21,M,2,2,R,,,,,
21155198,74337837,1,14410398,2014-02-07 00:00:00,1,N,16,5,24,M,2,2,N,,,,,
21155193,74337827,1,14401395,2014-02-07 00:00:00,1,N,16,5,22,M,2,2,R,,,,,
21154154,74335996,1,14410665,2014-01-30 00:00:00,1,N,16,5,22,M,2,2,R,,,,,
21153010,74333206,2,14409755,2014-01-17 00:00:00,1,N,16,5,23,M,2,2,R,,,,,
21153009,74333206,1,14409752,2014-01-17 00:00:00,1,N,16,5,23,M,2,2,R,,,,,
21155149,74336937,1,14410739,2014-02-04 00:00:00,1,N,16,5,22,M,2,2,R,,,,,
21155120,74336070,1,14410703,2014-02-02 00:00:00,1,N,16,5,18,M,2,2,R,,,,,
21154036,74334197,1,14409833,2014-01-23 00:00:00,1,N,16,5,48,M,2,2,R,,,,,
21152950,74332267,1,14413946,2014-03-20 00:00:00,1,N,16,5,29,M,2,2,R,,,,,
